timestamp,sponsor,locality,ip,provider,download,upload,ping
2020-04-28 15:20:47.241897,CTI,Diadema,186.220.84.243,Claro NET,104.26851919455002,9.688919954057786,14.084
2020-04-28 15:23:59.328209,PowerNet Telecom,Diadema,186.220.84.243,Claro NET,109.0398823507513,9.65023736445207,13.571
2020-04-28 15:26:59.971647,PowerNet Telecom,Diadema,186.220.84.243,Claro NET,92.31005280700516,9.56351055038488,21.535
2020-04-28 15:29:29.038895,CTI,Diadema,186.220.84.243,Claro NET,119.51586649397485,9.738167918292696,14.329
2020-04-28 15:30:12.606574,FIX FIBRA,Diadema,186.220.84.243,Claro NET,111.48488249223692,9.451934418798773,16.143
2020-04-28 15:32:50.626258,CTI,Diadema,186.220.84.243,Claro NET,122.36050762491354,9.838498468387499,13.858
2020-04-28 15:33:13.585362,FIX FIBRA,Diadema,186.220.84.243,Claro NET,113.36791086952898,9.42181724966456,17.295
2020-04-28 15:36:26.011416,CTI,Diadema,186.220.84.243,Claro NET,79.77531180117565,4.903934246200591,15.721
2020-04-28 15:36:26.614543,PowerNet Telecom,Diadema,186.220.84.243,Claro NET,45.073532063122265,4.787677978805352,15.703
2020-04-28 15:39:29.161806,CTI,Diadema,186.220.84.243,Claro NET,52.48637697929658,5.670613205798047,36.379
2020-04-28 15:39:29.511109,CTI,Diadema,186.220.84.243,Claro NET,56.89619488033392,3.9687395443319655,33.703
2020-04-28 15:42:32.021129,FIX FIBRA,Diadema,186.220.84.243,Claro NET,61.0883701826546,4.620276610739839,16.692
2020-04-28 15:42:32.068007,FIX FIBRA,Diadema,186.220.84.243,Claro NET,64.93335985327867,4.87272622113188,17.064
2020-04-28 15:45:32.505047,FIX FIBRA,Diadema,186.220.84.243,Claro NET,57.57537371068146,5.129473817160065,16.545
2020-04-28 15:45:32.551058,FIX FIBRA,Diadema,186.220.84.243,Claro NET,57.813060749423535,3.686038112084115,18.283
2020-04-28 15:48:34.492177,CTI,Diadema,186.220.84.243,Claro NET,69.44683695845032,5.336335271879613,15.214
2020-04-28 15:48:34.847245,CTI,Diadema,186.220.84.243,Claro NET,46.731490279300026,4.359162808580541,17.309
2020-04-28 15:51:37.098915,FIX FIBRA,Diadema,186.220.84.243,Claro NET,61.624234965182545,5.28742231451484,12.248
2020-04-28 15:51:37.268954,FIX FIBRA,Diadema,186.220.84.243,Claro NET,67.24765898532097,4.322275173250408,16.017
2020-04-28 15:54:39.729286,CTI,Diadema,186.220.84.243,Claro NET,58.911852778243684,3.557327285153081,17.708
2020-04-28 15:54:39.777296,CTI,Diadema,186.220.84.243,Claro NET,55.93529767284647,3.279367257781718,17.718
2020-04-28 15:57:42.225036,FIX FIBRA,Diadema,186.220.84.243,Claro NET,65.97233872576773,5.2981724759361315,15.68
2020-04-28 15:57:42.443084,FIX FIBRA,Diadema,186.220.84.243,Claro NET,61.80672190786126,4.422733377102583,16.596
