article_url;article_title;article_category;article_date;article_author
https://canaltech.com.br/entretenimento/filmes-mais-pirateados-semana-07032021-180020/;Os 10 filmes mais pirateados da semana (07/03/2021);Entretenimento;2021-03-07 20:30:00;Sérgio Oliveira
https://canaltech.com.br/smartwatch/mi-band-6-o-que-esperar-da-proxima-pulseira-da-xiaomi-179861/;Mi band 6: o que esperar da próxima pulseira da Xiaomi;Smartwatch;2021-03-07 19:00:00;Felipe Junqueira
https://canaltech.com.br/smartphone/xiaomi-redmi-note-10s-redmi-note-9s-comparativo-179968/;Redmi Note 10S vs. Redmi Note 9S: o que muda de uma geração para outra;Smartphone;2021-03-07 17:00:00;Diego Sousa
https://canaltech.com.br/apps/como-usar-o-rappipay/;Como usar o RappiPay;Apps;2021-03-07 16:00:00;Guadalupe Carniel
https://canaltech.com.br/entretenimento/melhores-filmes-romance-netflix-179216/;Os melhores filmes de romance para assistir na Netflix;Entretenimento;2021-03-07 15:00:00;Beatriz Vaccari
https://canaltech.com.br/tv/chromecast-funcoes-pouco-conhecidas/;Truques e funções pouco conhecidos do Chromecast;TV;2021-03-07 14:00:00;Lu do Magalu
https://canaltech.com.br/espaco/o-que-e-materia-escura/;O que é matéria escura? Como sabemos que ela existe?;Espaço;2021-03-07 13:00:00;Daniele Cavalcante
https://canaltech.com.br/comportamento/a-nova-moda-europeia-botar-um-trailer-em-uma-bike-eletrica-e-sair-por-ai-179958/;A nova moda europeia: botar um trailer em uma bike elétrica e sair por aí;Comportamento;2021-03-07 12:00:00;Ramon de Souza
https://canaltech.com.br/quadrinhos/hqs-e-super-herois-confira-reviews-dos-destaques-da-marvel-e-dc-em-fevereiro-179587/;HQs e super-heróis: confira reviews dos destaques da Marvel e DC em fevereiro;Quadrinhos;2021-03-07 11:00:00;Claudio Yuge
https://canaltech.com.br/espaco/vai-explodir-uma-das-maiores-estrelas-pode-estar-em-seus-estagios-finais-180016/;Vai explodir? Uma das maiores estrelas pode estar em seus estágios finais;Espaço;2021-03-07 10:00:00;Daniele Cavalcante
https://canaltech.com.br/entretenimento/nicole-kidman-e-criadores-de-glow-unem-se-para-serie-feminista-no-apple-tv-179815/;Nicole Kidman e criadores de GLOW se unem para série feminista no Apple TV+;Entretenimento;2021-03-07 09:00:00;Beatriz Vaccari
https://canaltech.com.br/saude/giro-da-saude-colapso-no-brasil-polemica-do-teste-anal-novas-vacinas-chegando-179996/;"Giro da Saúde: colapso no Brasil; polêmica do teste anal; novas vacinas chegando";Saúde;2021-03-07 08:00:00;Luciana Zaramela
